nama_pemda,klaster
Kab. Bangkalan,1
Kab. Banyuwangi,1
Kab. Blitar,1
Kab. Bojonegoro,1
Kab. Bondowoso,1
Kab. Gresik,0
Kab. Jember,0
Kab. Jombang,1
Kab. Kediri,1
Kab. Lamongan,1
Kab. Lumajang,1
Kab. Madiun,1
Kab. Magetan,1
Kab. Malang,1
Kab. Mojokerto,0
Kab. Nganjuk,1
Kab. Ngawi,1
Kab. Pacitan,1
Kab. Pamekasan,1
Kab. Pasuruan,1
Kab. Ponorogo,1
Kab. Probolinggo,1
Kab. Sampang,1
Kab. Sidoarjo,0
Kab. Situbondo,1
Kab. Sumenep,1
Kab. Trenggalek,1
Kab. Tuban,1
Kab. Tulungagung,0
Kota Batu,0
Kota Blitar,0
Kota Kediri,2
Kota Madiun,0
Kota Malang,0
Kota Mojokerto,0
Kota Pasuruan,0
Kota Probolinggo,0
Kota Surabaya,0
