nama_pemda,tahun,pendapatan_total,belanja_total,blj_tdk_langsung,blj_pegawai,blj_hibah,blj_bansos,blj_bagi_hasil,blj_bantuan_keu,blj_tdk_terduga,blj_langsung,blj_barang_jasa,blj_modal,pembiayaan,rasio_pegawai_pct,rasio_modal_pct,rasio_barang_jasa_pct,rasio_bansos_pct,rasio_hibah_pct,rasio_bantuan_keu_pct,ipm,tpt,kemiskinan_pct,pdrb_per_kapita,ipm_lag1,kemiskinan_lag1,delta_ipm,delta_kemiskinan,belanja_per_pdrb
Kab. Bangkalan,2013,1405.788455074,1431.497631931,907.931796402,815.183268233,60.622239536,2.079879,0.0,29.622409633,0.424,523.565835529,227.623001449,295.94283408,113.533581921,56.95,20.67,15.9,0.15,4.23,2.07,57.51,3.77,23.83,13015,,,,,109988.2929
Kab. Banyuwangi,2013,1917.058035069,1886.309069851,1179.565578627,1005.725339435,94.690869952,11.270125,1.02380285,66.85544139,0.0,706.743491224,257.770995465,404.860203009,196.931722469,53.32,21.46,13.67,0.6,5.02,3.54,65.97,3.33,9.94,22779,,,,,82809.1255
Kab. Blitar,2013,1604.229567581,1637.252053174,1131.250998511,959.366258673,115.5700288,3.721361,5.726262538,46.4503195,0.416768,506.001054663,175.187970862,330.813083801,141.596247148,58.6,20.21,10.7,0.23,7.06,2.84,66.87,2.4,10.65,15628,,,,,104764.0167
Kab. Bojonegoro,2013,2024.348269285,2034.120195584,1147.081422411,937.549323042,27.38986854,19.533615,1.0764948,160.146928337,1.176192692,887.038773173,571.411480492,315.627292681,363.65356622,46.09,15.52,28.09,0.96,1.35,7.87,64.92,3.47,16.7,40020,,,,,50827.5911
Kab. Bondowoso,2013,1266.838948992,1266.305195495,776.251182533,655.196822581,43.710255067,6.670053727,0.0,69.463894963,0.610156195,490.054012962,211.067522577,251.144647576,96.091909951,51.74,19.83,16.67,0.53,3.45,5.49,60.43,2.1,14.28,13040,,,,,97109.2941
Kab. Gresik,2013,1840.556214829,1897.270106456,992.715498549,706.91534401,107.8185132,16.87005,0.0,160.0208338,0.761601,904.554607907,366.033201747,417.766098409,235.946731139,37.26,22.02,19.29,0.89,5.68,8.43,74.46,6.81,13.57,57068,,,,,33245.7788
Kab. Jember,2013,2366.370839532,2348.129104082,1530.229361841,1320.232887227,66.726801563,38.7382965,0.886584593,101.755513493,1.880534,817.899742241,339.322344929,478.577397312,285.644500802,56.22,20.38,14.45,1.65,2.84,4.33,61.84,2.97,12.64,16224,,,,,144731.8235
Kab. Jombang,2013,1567.610980536,1559.047056627,1026.658376568,841.131549537,86.724676066,5.32285,0.0,77.23603247,0.1747713,532.388680059,235.387735592,216.972911919,226.904720247,53.95,13.92,15.1,0.34,5.56,4.95,68.68,5.84,11.44,18706,,,,,83344.7587
Kab. Kediri,2013,1790.936818007,1595.444481821,1122.957674105,1003.156843102,14.50820272,24.350665173,6.051592299,72.2900563,2.508316,472.486807716,180.204547101,292.282260615,234.891816135,62.88,18.32,11.29,1.53,0.91,4.53,67.55,3.84,14.16,14393,,,,,110848.6404
Kab. Lamongan,2013,1674.655717106,1606.782530256,1116.989671472,930.796185193,49.742064061,24.8424483,2.557386436,107.045385766,0.0,489.792858784,249.721086302,240.071772482,57.32629724,57.93,14.94,15.54,1.55,3.1,6.66,68.79,4.32,16.62,14614,,,,,109948.1682
Kab. Lumajang,2013,1299.318897389,1237.250864104,906.093363286,744.657040994,88.015853766,8.764834901,0.0,62.510525744,2.139620276,331.157500818,168.101662089,163.055838729,164.721383941,60.19,13.18,13.59,0.71,7.11,5.05,60.78,2.62,13.55,14895,,,,,83064.8449
Kab. Madiun,2013,1182.864757087,1140.996797668,797.857052446,700.091156095,27.243346181,11.337911426,0.9690894,57.797634639,0.04747,343.139745222,157.625020871,185.514724351,117.395792916,61.36,16.26,13.81,0.99,2.39,5.07,68.84,3.32,12.41,15940,,,,,71580.7276
Kab. Magetan,2013,1225.384220298,1188.654360771,889.613133642,778.885766966,52.344448454,5.354935,52.170057262,0.85792596,0.0,299.041227129,167.975464332,131.065762797,99.940783273,65.53,11.03,14.13,0.45,4.4,0.07,70.77,2.54,11.97,16021,,,,,74193.5186
Kab. Malang,2013,2529.685862151,2440.509395392,1598.440236702,1326.448684146,85.70880818,66.2348732,14.631182317,103.721015227,1.695673632,842.06915869,405.567656162,436.501502528,105.440315408,54.35,17.89,16.62,2.71,3.51,4.25,64.96,4.44,11.39,17481,,,,,139609.2555
Kab. Mojokerto,2013,1498.185198717,1432.5291542,921.994353353,818.483238187,23.221808,12.580116,8.310915529,59.396331195,0.0,510.534800847,280.308297692,230.226503155,187.065601689,57.14,16.07,19.57,0.88,1.62,4.15,68.58,5.17,9.87,29918,,,,,47881.8489
Kab. Nganjuk,2013,1559.541595673,1486.896745684,1038.35431999,921.425257195,48.38995635,1.170811,27.903519445,39.370379,0.094397,448.542425694,209.159819779,239.382605915,155.743041131,61.97,16.1,14.07,0.08,3.25,2.65,68.01,3.32,14.74,14754,,,,,100779.2291
Kab. Ngawi,2013,1414.456951798,1353.881705136,946.839616457,848.166495342,23.36972,5.65274,0.5763468,68.421877171,0.646,407.042088679,199.622617127,189.236101556,96.65814624,62.65,13.98,14.74,0.42,1.73,5.05,67.56,2.57,16.7,13743,,,,,98514.2767
Kab. Pacitan,2013,1061.39798885,1036.98009889,724.455198735,607.673757744,24.7694729,4.54412741,3.300666461,82.53455052,1.6326237,312.524900155,143.242808806,132.854725599,47.316292447,58.6,12.81,13.81,0.44,2.39,7.96,62.71,1.69,16.49,13243,,,,,78304.0171
Kab. Pamekasan,2013,1219.849024308,1167.57167704,850.874297379,650.175115911,127.931585622,30.330687658,1.78,39.32699075,1.3278756,316.697379661,170.605521143,146.091858518,146.584700198,55.69,12.51,14.61,2.6,10.96,3.37,61.93,2.98,20.27,10913,,,,,106989.066
Kab. Pasuruan,2013,1819.738370147,1739.245818047,1127.934141237,928.530385168,94.269706121,12.3244631,43.3467,47.390543942,2.072342906,611.31167681,364.06384388,247.24783293,181.925899262,53.39,14.22,20.93,0.71,5.42,2.72,64.47,6.83,11.62,28660,,,,,60685.4786
Kab. Ponorogo,2013,1452.191618348,1396.914654794,1132.494443074,930.856906211,120.618938763,7.618048,1.36963886,69.1158329,2.91507834,264.42021172,153.572070405,110.848141315,63.871761818,66.64,7.94,10.99,0.55,8.63,4.95,66.43,3.28,12.06,13530,,,,,103245.7247
Kab. Probolinggo,2013,1381.935052366,1329.410577152,912.880061366,753.237130042,57.485605975,19.82942035,0.0,73.339886979,8.98801802,416.530515786,205.270787216,211.25972857,108.855533744,56.66,15.89,15.44,1.49,4.32,5.52,59.38,2.76,22.12,13754,,,,,96656.2874
Kab. Sampang,2013,1102.952871616,1085.328587397,710.027248546,573.933449252,71.645379963,27.80579899,0.0,35.820815341,0.821805,375.301338851,119.928418725,255.372920126,93.121541955,52.88,23.53,11.05,2.56,6.6,3.3,52.52,2.36,26.27,10255,,,,,105834.0895
Kab. Sidoarjo,2013,2695.270157665,2569.817000142,1557.56631257,1256.762207746,96.542699428,61.860121347,42.274714015,100.104209034,0.022361,1012.250687572,493.567850052,518.68283752,358.838088239,48.9,20.18,19.21,2.41,3.76,3.9,76.0,7.82,6.69,57478,,,,,44709.5758
Kab. Situbondo,2013,1109.471305727,1150.103067653,701.730331744,619.282087404,37.47796294,8.4885,0.0,35.420850977,1.060930423,448.372735909,183.801741013,264.570994896,123.18888814,53.85,23.0,15.98,0.74,3.26,3.08,62.06,2.13,12.36,16128,,,,,71310.9541
Kab. Sumenep,2013,1496.94236771,1421.813451772,945.189277154,781.443146179,95.5227555,5.227312,0.0,61.718842475,1.277221,476.624174618,225.284994203,221.374320441,215.312223787,54.96,15.57,15.84,0.37,6.72,4.34,58.97,2.24,21.12,15924,,,,,89287.4562
Kab. Trenggalek,2013,1206.677943038,1164.834490082,839.017514882,736.223412778,46.951995279,2.80252675,3.295446363,48.602688312,0.6601841,325.8169752,119.056580978,206.760394222,77.778968541,63.2,17.75,10.22,0.24,4.03,4.17,65.27,2.79,14.1,13997,,,,,83220.2965
Kab. Tuban,2013,1526.016153881,1489.827940912,1011.492620583,831.275361827,74.35549143,23.39268385,11.562842729,70.901732965,0.0035333,478.335320329,211.182526386,267.152793943,122.78050921,55.8,17.93,14.17,1.57,4.99,4.76,63.39,3.81,16.95,33462,,,,,44522.9795
Kab. Tulungagung,2013,1774.874063729,1680.332359805,1242.424864958,1074.079062716,78.707549935,18.8477535,67.535375321,0.860688468,1.3408285,437.907494847,284.812357076,153.095137771,87.067204358,63.92,9.11,16.95,1.12,4.68,0.05,69.22,3.28,8.6,19734,,,,,85149.101
Kota Batu,2013,553.618189649,568.46890811,324.254908744,261.241902427,37.689967512,8.016903305,16.7186,0.4560355,0.1315,244.213999366,88.371418666,155.8425807,98.178280857,45.96,27.41,15.55,1.41,6.63,0.08,71.9,4.78,4.66,22913,,,,,24809.8856
Kota Blitar,2013,612.551692287,594.594934115,329.201014549,285.368629488,29.78277222,13.737150096,0.0,0.312462745,0.0,265.393919566,158.218481303,107.175438263,45.001566061,47.99,18.02,26.61,2.31,5.01,0.05,76.25,5.96,8.98,31649,,,,,18787.1634
Kota Kediri,2013,979.946713954,871.479638835,489.841023299,433.860233046,33.478908352,21.937183976,0.0,0.564697925,0.0,381.638615536,177.406623311,124.49855562,118.087856803,49.78,14.29,20.36,2.52,3.84,0.06,76.73,7.59,9.88,228567,,,,,3812.7973
Kota Madiun,2013,809.078381918,775.087201814,419.409660407,377.924830928,19.14541006,21.844516419,0.0,0.494903,0.0,355.677541407,134.639233409,180.111320995,135.488087324,48.76,23.24,17.37,2.82,2.47,0.06,77.9,6.55,5.12,52038,,,,,14894.6386
Kota Malang,2013,1524.846569429,1486.368766886,851.263919969,767.298084806,83.0463615,0.12925,0.07331445,0.6637287,0.017022672,635.104846917,281.840013159,353.264833758,144.272064765,51.62,23.77,18.96,0.01,5.59,0.04,78.44,7.73,5.57,40977,,,,,36273.2452
Kota Mojokerto,2013,568.900569599,511.091545447,277.2973582,247.916864831,27.363793419,1.51875,0.0,0.48794995,0.01,233.794187247,166.147866882,67.646320365,61.269605576,48.51,13.24,32.51,0.3,5.35,0.1,75.98,7.82,9.32,38217,,,,,13373.4083
Kota Pasuruan,2013,576.598456068,552.338988276,297.419728944,257.402875474,28.119626,9.93708915,0.0,1.96013832,0.0,254.919259332,106.58142497,78.111929389,26.436576196,46.6,14.14,19.3,1.8,5.09,0.35,72.12,6.92,8.15,27645,,,,,19979.7066
Kota Probolinggo,2013,682.356282136,655.93203846,335.262153415,301.273207632,22.000794406,10.50912,0.0,0.622972777,0.8560586,320.669885045,186.895963009,68.161679883,48.489039926,45.93,10.39,28.49,1.6,3.35,0.09,70.28,5.92,9.91,27098,,,,,24205.9207
Kota Surabaya,2013,5235.293716915,5057.279664346,2309.125269019,2049.262468475,253.316709085,0.8537035,5.088082959,0.604305,0.0,2748.154395327,1466.759779178,1281.394616149,799.075102176,40.52,25.34,29.0,0.02,5.01,0.01,78.51,7.07,5.98,100012,,,,,50566.7286
