nama_pemda,tahun,pendapatan_total,belanja_total,blj_tdk_langsung,blj_pegawai,blj_hibah,blj_bansos,blj_bagi_hasil,blj_bantuan_keu,blj_tdk_terduga,blj_langsung,blj_barang_jasa,blj_modal,pembiayaan,rasio_pegawai_pct,rasio_modal_pct,rasio_barang_jasa_pct,rasio_bansos_pct,rasio_hibah_pct,rasio_bantuan_keu_pct,ipm,tpt,kemiskinan_pct,pdrb_per_kapita,ipm_lag1,kemiskinan_lag1,delta_ipm,delta_kemiskinan,belanja_per_pdrb,klaster
Kab. Bangkalan,2014,1643.100601431,1563.613835059,1013.832863943,912.407063815,67.070112911,2.3049056,0.0,29.835015579,0.2073819,549.780971116,217.952338645,331.828632471,107.639089245,58.35,21.22,13.94,0.15,4.29,1.91,58.39,3.45,22.89,14743,57.51,23.83,0.88,-0.94,106058.0503,1
Kab. Bangkalan,2015,1787.701828638,1838.357542933,1203.620952257,945.701250184,92.629045306,0.6138178,1.999992734,158.495008411,0.0,634.736590676,154.207206605,480.529384071,445.643896303,51.44,26.14,8.39,0.03,5.04,8.62,59.27,3.74,22.21,16037,58.39,22.89,0.88,-0.68,114632.2593,1
Kab. Bangkalan,2016,1831.920659194,1944.896442627,1166.015442627,844.953,20.993126,0.137,1.9879497,290.626,0.0,778.881,182.092,412.823,188.069593362,43.44,21.23,9.36,0.01,1.08,14.94,60.13,3.32,22.29,17480,59.27,22.21,0.86,0.08,111264.0985,1
Kab. Bangkalan,2017,2188.064292577,2009.248055038,1446.478568761,988.46278865,67.7591817,0.5650947,4.4182223,378.8814391,0.0,562.769486277,266.714453536,296.055032741,41.392653779,49.2,14.73,13.27,0.03,3.37,18.86,61.06,3.32,21.2,18993,60.13,22.29,0.93,-1.09,105788.8725,1
Kab. Bangkalan,2018,2034.15653945102,2087.07141337924,1469.286981801,1011.71148428913,68.35014298004,0.72151,4.788289756,380.33212309483,0.0,617.78443157824,293.07881651722,324.70561506102,189.60032029011,48.48,15.56,14.04,0.03,3.27,18.22,61.93,3.52,20.54,20819,61.06,21.2,0.87,-0.66,100248.3987,1
Kab. Banyuwangi,2014,2418.962318839,2299.307896458,1304.329355135,1147.862041953,72.860137523,10.026215,3.17174075,70.409219909,0.0,994.978541323,436.431864175,558.546677148,214.793037694,49.92,24.29,18.98,0.44,3.17,3.06,66.72,3.02,9.56,26074,65.97,9.94,0.75,-0.38,88183.9341,1
Kab. Banyuwangi,2015,2779.148430147,2741.772556679,1512.413698635,1243.906467979,122.750256472,6.131490319,139.625483865,0.0,0.0,1229.358858044,529.943112726,699.415745318,706.315993618,45.37,25.51,19.33,0.22,4.48,0.0,67.38,3.29,9.42,28804,66.72,9.56,0.66,-0.14,95187.2155,1
Kab. Banyuwangi,2016,2805.615458313,3095.290678637,1621.810678637,1313.53,60.034851251,8.063209736,2.44375465,236.801,0.937863,1473.48,561.896,911.584,371.77931,42.44,29.45,18.15,0.26,1.94,7.65,68.03,2.7,9.03,31956,67.38,9.42,0.65,-0.39,96861.0176,1
Kab. Banyuwangi,2017,2732.022666957,2776.030217673,1527.901805642,1099.860795452,85.37017848,3.9453563,7.32405125,328.45367316,2.947751,1248.128412031,591.051197771,657.07721426,82.109711541,39.62,23.67,21.29,0.14,3.08,11.83,68.78,2.73,8.61,35541,68.03,9.03,0.75,-0.42,78107.8253,1
Kab. Banyuwangi,2018,2732.022666957,2753.6658113326,1596.58786039447,1185.27156049067,61.221365,7.3964648,11.4279677,316.4342933,0.0,1157.0779509381298,676.6952876397701,480.38266329836,214.793037694,43.04,17.45,24.57,0.27,2.22,11.49,69.47,2.95,8.28,39663,68.78,8.61,0.69,-0.33,69426.5641,1
